pick,utc,lat,lon,dep,n_pha,mag,cluster
2022208T132915,2022-07-27T13:29:14.750000Z,61.326127,-140.384473,4.044,66,1.7900478495639307,
2022208T152659,2022-07-27T15:27:18.350000Z,61.412362,-139.899251,0.296,23,1.0154045611726117,
2022208T154817,2022-07-27T15:48:16.320000Z,61.552893,-140.591634,7.651,56,1.7896020126201462,
2022208T155849,2022-07-27T15:58:48.260000Z,61.547583,-140.588558,6.634,11,0.9000124911993335,
2022208T190938,2022-07-27T19:09:38.000000Z,61.547689,-140.587402,6.626,10,1.3037387663138216,
2022208T195503,2022-07-27T19:55:03.220000Z,61.255843,-139.290413,8.792,27,1.5368943727407758,1.0
2022208T200604,2022-07-27T20:06:04.400000Z,61.253398,-139.28859,9.015,36,1.5918860609933014,1.0
2022209T024926,2022-07-28T02:49:28.930000Z,61.390023,-140.204753,0.255,21,1.2012913094582205,
2022209T120252,2022-07-28T12:02:52.800000Z,61.453337,-140.373551,6.101,44,1.0054659809005986,
2022209T144103,2022-07-28T14:41:02.740000Z,61.261377,-139.247396,13.082,13,0.9216248850324408,
2022209T151529,2022-07-28T15:15:29.830000Z,61.310547,-139.181608,6.66,20,0.8254847442765307,3.0
2022209T152913,2022-07-28T15:29:22.420000Z,61.390019,-139.871191,1.544,40,1.065971511522639,
2022210T032144,2022-07-29T03:21:43.330000Z,61.426135,-139.992676,7.727,63,1.5764235861088751,
2022210T032251,2022-07-29T03:22:51.010000Z,61.433004,-139.944661,2.823,53,1.0667030995601043,
2022210T130029,2022-07-29T13:00:29.240000Z,61.244897,-140.034912,6.388,34,0.8669995106139915,
2022211T023057,2022-07-30T02:30:59.490000Z,61.360347,-139.215137,6.565,18,1.0537756682769686,4.0
2022217T083615,2022-08-05T08:36:15.050000Z,61.365894,-139.89541,10.62,5,0.7872665893900347,
2022218T165714,2022-08-06T16:57:27.620000Z,61.299516,-139.305029,11.416,10,1.145546784280553,5.0
2022218T180209,2022-08-06T18:02:09.920000Z,61.306087,-139.240381,8.311,57,1.668788775313149,5.0
2022219T121233,2022-08-07T12:12:33.159999Z,60.981124,-138.609147,9.346,66,2.2277511216943364,
2022219T130224,2022-08-07T13:02:23.770000Z,60.98219,-138.608382,9.34,28,1.2554807211289367,
2022219T155850,2022-08-07T15:58:49.880000Z,61.026705,-138.525277,8.375,6,1.293504661489178,
2022223T000838,2022-08-11T00:08:38.240000Z,61.364681,-139.902946,10.343,62,1.9064921816479692,
2022223T000909,2022-08-11T00:09:07.490000Z,61.278467,-139.944303,17.778,11,1.643367407504496,
2022223T055355,2022-08-11T05:53:55.260000Z,61.363741,-139.902393,10.39,61,1.6466933869975005,
2022223T055435,2022-08-11T05:54:35.230000Z,61.374784,-139.889062,9.272,43,1.2863925866905586,
2022223T150358,2022-08-11T15:04:08.780000Z,61.358236,-139.232682,6.831,14,0.9524678163174146,
2022224T114803,2022-08-12T11:48:03.680000Z,61.300191,-139.181771,5.712,58,1.6511939883934363,3.0
2022225T113706,2022-08-13T11:37:05.400000Z,61.401253,-139.915072,7.32,32,1.120759028611868,
2022227T104208,2022-08-15T10:42:08.890000Z,61.35201,-139.145133,8.179,16,0.99867557920723,
2022230T021616,2022-08-18T02:16:16.840000Z,61.349076,-139.803304,13.162,15,1.6719322487462869,
2022230T023534,2022-08-18T02:35:34.100000Z,61.372213,-139.898454,9.629,16,1.7398169997841646,
2022230T024038,2022-08-18T02:40:38.270000Z,61.357861,-139.893506,11.019,17,1.7136646332059169,
2022230T024222,2022-08-18T02:42:21.730000Z,61.364408,-139.899105,10.607,59,2.236560275062344,
2022230T032852,2022-08-18T03:28:51.910000Z,61.373234,-139.89904,9.645,22,1.7024802545742712,
2022230T062909,2022-08-18T06:29:09.990000Z,61.420211,-139.800635,22.313,16,1.1717304749873532,
2022230T153537,2022-08-18T15:35:37.270000Z,61.335742,-139.157813,8.475,10,1.1538673884688584,
2022230T214630,2022-08-18T21:46:29.520000Z,61.367651,-139.895703,9.837,39,1.4371588303793776,
2022231T032319,2022-08-19T03:23:20.740000Z,61.398446,-139.85472,6.968,29,1.087651524681991,
2022232T033251,2022-08-20T03:32:50.500000Z,61.368351,-139.897949,9.377,18,1.3309014879637728,
2022232T143918,2022-08-20T14:39:18.670000Z,61.280465,-139.213965,9.149,48,1.8907588101412665,
2022232T151406,2022-08-20T15:14:06.640000Z,61.284456,-139.210189,8.697,18,0.9814075710692672,
2022233T012839,2022-08-21T01:28:39.630000Z,61.313782,-139.24585,9.255,16,1.3046972098978609,
