utc,lat,lon,dep
2010-01-22T15:09:05.910000Z,60.398,-140.8474,36.69
2010-01-22T15:38:34.280000Z,59.9478,-140.9807,12.79
2010-01-22T15:46:56.330000Z,60.3266,-140.7373,11.03
2010-01-22T15:49:23.990000Z,60.3104,-140.856,25.49
2010-01-22T15:50:55.620000Z,60.3759,-140.8826,12.46
2010-01-22T16:07:13.530000Z,60.3263,-140.7212,11.32
2010-01-22T23:09:25.580000Z,61.2751,-142.7387,35.05
2010-01-22T23:30:23.430000Z,59.8531,-141.1546,18.93
2010-01-23T01:31:07.980000Z,60.2285,-140.5658,25.03
2010-01-23T11:07:20.490000Z,60.3867,-140.9723,15.0
2010-01-23T12:14:52.880000Z,60.3659,-140.8448,12.34
2010-01-23T12:28:41.210000Z,60.277,-140.6679,9.94
2010-01-23T20:21:25.840000Z,60.3284,-140.5837,23.81
2010-01-24T04:21:50.190000Z,60.1846,-141.7072,14.19
2010-01-24T06:39:23.790000Z,60.2047,-141.6697,19.59
2010-01-24T23:47:21.550000Z,60.682,-140.8571,15.0
2010-01-25T00:32:10.800000Z,59.9236,-141.2197,15.39
2010-01-25T08:35:26.040000Z,59.9976,-141.2547,16.2
2010-01-25T17:05:20.610000Z,60.6394,-143.7539,16.54
2010-01-25T22:06:22.110000Z,59.9699,-141.2084,15.9
2010-01-25T23:29:33.660000Z,60.7618,-140.4668,14.96
2010-01-26T01:13:25.740000Z,59.9089,-141.0184,15.37
2010-01-26T03:46:45.410000Z,59.8473,-139.772,0.01
2010-01-26T06:56:33.360000Z,60.0339,-140.9293,7.39
2010-01-26T10:56:21.240000Z,60.617,-142.8315,14.59
2010-01-26T22:15:56.940000Z,60.5414,-142.0541,7.06
2010-01-27T02:17:53.720000Z,59.9689,-141.4645,10.91
2010-01-27T07:10:55.550000Z,60.2033,-140.9998,17.79
2010-01-27T21:14:20.530000Z,60.5459,-142.4946,11.25
2010-01-28T04:15:03.310000Z,60.1947,-141.5001,10.71
2010-01-29T02:52:06.830000Z,60.5623,-142.6459,23.87
2010-01-29T06:37:16.860000Z,59.9568,-140.9766,16.9
2010-01-29T08:05:46.360000Z,60.2887,-141.7967,12.48
2010-01-29T20:00:59.450000Z,61.5377,-140.6861,5.92
2010-01-29T23:11:33.820000Z,61.3025,-141.041,11.57
2010-01-30T00:09:32.280000Z,60.2747,-141.0862,11.52
2010-01-30T00:49:45.760000Z,60.2129,-141.4517,16.69
2010-01-30T06:11:20.610000Z,60.5288,-142.0606,10.09
